date,observed,counterfactual,avoided_cases,counterfactual_lower,counterfactual_upper
2021-08-07,778862.0,1.8785021660472368e+30,1.8785021660472368e+30,3.3334426874360424e+20,9.436785874177296e+40
2021-08-14,911735.0,4.4351611164044246e+30,4.4351611164044246e+30,5.762082224734657e+20,3.1372714162485193e+41
2021-08-21,1047678.0,1.0471456719082244e+31,1.0471456719082244e+31,9.960160004275629e+20,1.0429902195360178e+42
2021-08-28,1088180.0,2.4723206878334565e+31,2.4723206878334565e+31,1.7216845443930834e+21,3.467436616624217e+42
2021-09-04,1153281.0,5.837172179063359e+31,5.837172179063359e+31,2.9760570008233527e+21,1.1527549044353338e+43
2021-09-11,1041459.0,1.378161790082732e+32,1.378161790082732e+32,5.144335740774085e+21,3.832353649986348e+43
2021-09-18,1021721.0,3.25385282698447e+32,3.25385282698447e+32,8.892374745525461e+21,1.2740730598833015e+44
2021-09-25,834482.0,7.68237684128454e+32,7.68237684128454e+32,1.5371158385469774e+22,4.2356809550690025e+44
2021-10-02,759422.0,1.8138163300459163e+33,1.8138163300459163e+33,2.6570261247106006e+22,1.4081609675519063e+45
2021-10-09,667158.0,4.282437254914901e+33,4.282437254914901e+33,4.592883551343301e+22,4.6814621740916215e+45
2021-10-16,589510.0,1.0110874259147737e+34,1.0110874259147737e+34,7.939175895933938e+22,1.556362974702409e+46
2021-10-23,512247.0,2.3871868330812883e+34,2.3871868330812883e+34,1.3723528559356523e+23,5.174166719111674e+46
2021-10-30,506191.0,5.63617035478503e+34,5.63617035478503e+34,2.372228562017071e+23,1.7201649810911949e+47
2021-11-06,516295.0,1.3307050720933433e+35,1.3307050720933433e+35,4.1006022102620005e+23,5.718734611332324e+47
2021-11-13,569444.0,3.1418070736481302e+35,3.1418070736481302e+35,7.088251526330892e+23,1.9012093464993815e+48
2021-11-20,647456.0,7.417835773705553e+35,7.417835773705553e+35,1.2252676394356305e+24,6.3206260435417e+48
2021-11-27,505935.0,1.7513579375125043e+36,1.7513579375125043e+36,2.1179864083526256e+24,2.1013113685573894e+49
2021-12-04,848599.0,4.134972408206628e+36,4.134972408206628e+36,3.6611349140023064e+24,6.985876163299261e+49
2021-12-11,832418.0,9.762708382111093e+36,9.762708382111093e+36,6.328614667002691e+24,2.3224774963080276e+50
2021-12-18,911995.0,2.304984545120076e+37,2.304984545120076e+37,1.093961220178547e+25,7.721155626924087e+50
2021-12-25,1373182.0,5.44208998701396e+37,5.44208998701396e+37,1.8910175128831693e+25,2.5669254623864486e+51
2022-01-01,2875294.0,1.2848825164341726e+38,1.2848825164341726e+38,3.2688088296388873e+25,8.533837532306572e+51
2022-01-08,4975905.0,3.033619592799242e+38,3.033619592799242e+38,5.650460439560169e+25,2.8371065359679384e+52
2022-01-15,5648740.0,7.162404123417707e+38,7.162404123417707e+38,9.767389279949169e+25,9.432071402641905e+52
2022-01-22,5035610.0,1.6910502868889738e+39,1.6910502868889738e+39,1.688392811297105e+26,3.1357301199385206e+53
2022-01-29,3747626.0,3.992585483186463e+39,3.992585483186463e+39,2.9185613599900295e+26,1.0424864964015012e+54
2022-02-05,2106639.0,9.426531525492048e+39,9.426531525492048e+39,5.045038631984423e+26,3.4657909392935745e+54
2022-02-12,1259908.0,2.2256128760498595e+40,2.2256128760498595e+40,8.720883703988477e+26,1.1522174538065556e+55
2022-02-19,727898.0,5.254692736818034e+40,5.254692736818034e+40,1.5074982699575652e+27,3.8305990938010844e+55
2022-02-26,464425.0,1.2406378510612832e+41,1.2406378510612832e+41,2.605874376824585e+27,1.273500495751063e+56
2022-03-05,329172.0,2.9291575256177713e+41,2.9291575256177713e+41,4.504540042429452e+27,4.23381327674427e+56
2022-03-12,245135.0,6.915768209509032e+41,6.915768209509032e+41,7.786597908117005e+27,1.4075520007983829e+57
2022-03-19,215105.0,1.632819317819675e+42,1.632819317819675e+42,1.3460009413899269e+28,4.679477493367241e+57
2022-03-26,210000.0,3.855101622664682e+42,3.855101622664682e+42,2.3267155584986445e+28,1.5557164505407305e+58
2022-04-02,198717.0,9.101930849836482e+42,9.101930849836482e+42,4.021995099594492e+28,5.172061647812006e+58
2022-04-09,243938.0,2.1489743540908723e+43,2.1489743540908723e+43,6.952485482040796e+28,1.7194799235028851e+59
2022-04-16,234353.0,5.073748472416978e+43,5.073748472416978e+43,1.201818685639342e+29,5.716506406205984e+59
2022-04-23,343509.0,1.1979167416469505e+44,1.1979167416469505e+44,2.0774860623389393e+29,1.9004850107492404e+60
2022-04-30,379813.0,2.828292588249718e+44,2.828292588249718e+44,3.591183429788139e+29,6.318272786528408e+60
2022-05-07,519565.0,6.6776251526049875e+44,6.6776251526049875e+44,6.2077948837549426e+29,2.1005473030178913e+61
2022-05-14,578420.0,1.576593520202152e+45,1.576593520202152e+45,1.0730931604740646e+30,6.983396973383519e+61
2022-05-21,811696.0,3.7223519906231115e+45,3.7223519906231115e+45,1.8549738457758412e+30,2.3216736149973716e+62
2022-05-28,714612.0,8.788507731732419e+45,8.788507731732419e+45,3.206553185381243e+30,7.718550908316046e+62
2022-06-04,772984.0,2.0749748638841402e+46,2.0749748638841402e+46,5.54293002067771e+30,2.5660821298201966e+63
2022-06-11,734931.0,4.899034986571364e+46,4.899034986571364e+46,9.581657265604589e+30,8.53110926434836e+63
2022-06-18,731145.0,1.1566667248548606e+47,1.1566667248548606e+47,1.6563120247756686e+31,2.836224666145417e+64
2022-06-25,707768.0,2.7309009142692333e+47,2.7309009142692333e+47,2.863149078134583e+31,9.429223477582642e+64
2022-07-02,815270.0,6.447682502920057e+47,6.447682502920057e+47,4.949325873583541e+31,3.13481129153592e+65
2022-07-09,733005.0,1.5223038463695395e+48,1.5223038463695395e+48,8.555559521754825e+31,1.0421903579641135e+66
2022-07-16,946258.0,3.594173564876954e+48,3.594173564876954e+48,1.4789417245327286e+32,3.4648375294190206e+66
2022-07-23,862048.0,8.485877274282751e+48,8.485877274282751e+48,2.556548175622615e+32,1.1519108653126135e+67
2022-07-30,938061.0,2.003523530913641e+49,2.003523530913641e+49,4.419337536020425e+32,3.8296144329884654e+67
2022-08-06,782948.0,4.730337723702169e+49,4.730337723702169e+49,7.639424362696512e+32,1.2731846818958687e+68
2022-08-13,807615.0,1.116837143912951e+50,1.116837143912951e+50,1.3205789365501413e+33,4.2328018282246284e+68
2022-08-20,599061.0,2.636862902565499e+50,2.636862902565499e+50,2.2828026211993956e+33,1.407228576027167e+69
2022-08-27,662053.0,6.225657881117254e+50,6.225657881117254e+50,3.9461412185119437e+33,4.6784450600672344e+69
